Les Hôpitaux Universitaires de Genève HUG;A.7.14.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 50-59, mortalité;0.0%;0.7%;0;14;10.0%;1.9%;5.2;10;
Les Hôpitaux Universitaires de Genève HUG;A.7.15.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 60-69, mortalité;6.7%;1.6%;4.3;15;0.0%;0.5%;0;12;
Les Hôpitaux Universitaires de Genève HUG;A.7.16.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 70-79, mortalité;7.1%;2.7%;2.6;14;0.0%;0.8%;0;13;
Les Hôpitaux Universitaires de Genève HUG;A.7.17.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge >79, mortalité;*;*;*;<10;*;*;*;0;
Les Hôpitaux Universitaires de Genève HUG;A.7.18.P Cas de respiration artificielle >95 h en cas d'OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (âge >19), pourcentage;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;B.1 Accident vasculaire cérébral (attaque cérébrale); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;B.1.1.M DP d’accident vasculaire cérébral, toutes les formes (âge >19), mortalité;9.3%;11.5%;0.8;721;8.3%;11.6%;0.7;969;Calcul sur le périmètre des soins aigus : Taux observé 8.3 / Nb cas 708
Les Hôpitaux Universitaires de Genève HUG;B.1.2.M DP d’accident vasculaire cérébral, toutes les formes, âge 20-44, mortalité;6.0%;4.0%;1.5;67;3.9%;3.0%;1.3;51;
Les Hôpitaux Universitaires de Genève HUG;B.1.3.M DP d’accident vasculaire cérébral, toutes les formes, âge 45-64, mortalité;9.9%;6.5%;1.5;191;5.0%;6.1%;0.8;280;
Les Hôpitaux Universitaires de Genève HUG;B.1.4.M DP d’accident vasculaire cérébral, toutes les formes, âge 65-84, mortalité;8.5%;11.6%;0.7;353;6.5%;10.6%;0.6;447;
Les Hôpitaux Universitaires de Genève HUG;B.1.5.M DP d’accident vasculaire cérébral, toutes les formes, âge >84, mortalité;12.7%;24.6%;0.5;110;18.3%;24.0%;0.8;191;
Les Hôpitaux Universitaires de Genève HUG;B.1.6.P DP d'accident vasculaire cérébral (âge >19) avec traitement en unité cérébro­vasculaire, pourcentage;49.0%;7.9%;*;353;47.2%;10.4%;*;457;
Les Hôpitaux Universitaires de Genève HUG;B.1.7.M Infarctus cérébral (CIM­10 I63, âge >19), mortalité;5.6%;8.3%;0.7;502;3.9%;7.9%;0.5;694;Calcul sur le périmètre des soins aigus : Taux observé 4.2 / Nb cas 521
Les Hôpitaux Universitaires de Genève HUG;B.1.8.M Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité;5.8%;7.9%;0.7;465;3.8%;8.0%;0.5;498;Calcul sur le périmètre des soins aigus : Taux observé 3.9 / Nb cas 483
Les Hôpitaux Universitaires de Genève HUG;B.1.9.P Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, pourcentage;7.4%;7.6%;*;37;6.1%;9.5%;*;42;
Les Hôpitaux Universitaires de Genève HUG;B.1.9.M Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, mortalité;16.2%;10.4%;1.6;37;19.0%;11.9%;1.6;42;
Les Hôpitaux Universitaires de Genève HUG;B.1.10.M Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité;26.1%;26.6%;1;88;21.2%;28.1%;0.8;132;Calcul sur le périmètre des soins aigus : Taux observé 25.9 / Nb cas 81
Les Hôpitaux Universitaires de Genève HUG;B.1.11.M Hémorragie sous­arachnoïdienne (CIM­10 I60, âge >19), mortalité;16.1%;11.7%;1.4;93;15.1%;13.0%;1.2;106;Calcul sur le périmètre des soins aigus : Taux observé 16.3 / Nb cas 92
Les Hôpitaux Universitaires de Genève HUG;B.1.12.P Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), pourcentage;5.3%;13.8%;*;38;3.8%;12.0%;*;37;Calcul sur le périmètre des soins aigus : Nb cas 14
Les Hôpitaux Universitaires de Genève HUG;B.1.12.M Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), mortalité;2.6%;7.7%;0.3;38;24.3%;14.1%;1.7;37;Calcul sur le périmètre des soins aigus : Taux observé 2.0 / Nb cas 14
Les Hôpitaux Universitaires de Genève HUG;B.2 Accident ischémique transitoire (AIT); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;B.2.1.M AIT, mortalité;0.0%;0.1%;0;109;0.0%;0.3%;0;111;Calcul sur le périmètre des soins aigus : Taux observé 0 / Nb cas 88
Les Hôpitaux Universitaires de Genève HUG;B.2.2.P AIT avec traitement en unité cérébro­vasculaire, pourcentage;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;C Rééducation gériatrique précoce; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;C.1 Rééducation gériatrique précoce; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;C.1.1.F Rééducation gériatrique précoce;*;*;*;0;*;*;*;0;
Les Hôpitaux Universitaires de Genève HUG;D Maladies pulmonaires; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;D.1 Pneumonie; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;D.1.1.M DP de pneumonie, mortalité;2.3%;6.1%;0.4;732;6.6%;6.1%;1.1;976;Calcul sur le périmètre des soins aigus : Taux observé 3.3 / Nb cas 694
Les Hôpitaux Universitaires de Genève HUG;D.1.2.M DP de pneumonie, âge <20, mortalité;1.2%;0.4%;3.4;80;0.0%;0.3%;0;67;
Les Hôpitaux Universitaires de Genève HUG;D.1.3.M DP de pneumonie, âge 20-44, mortalité;0.0%;0.6%;0;55;1.6%;0.7%;2.4;63;
Les Hôpitaux Universitaires de Genève HUG;D.1.4.M DP de pneumonie, âge 45-64, mortalité;2.1%;3.4%;0.6;142;2.7%;2.5%;1.1;146;
Les Hôpitaux Universitaires de Genève HUG;D.1.5.M DP de pneumonie, âge 65-84, mortalité;3.3%;7.0%;0.5;301;6.9%;6.2%;1.1;432;
Les Hôpitaux Universitaires de Genève HUG;D.1.6.M DP de pneumonie, âge >84, mortalité;1.9%;11.9%;0.2;154;10.8%;10.8%;1;268;
Les Hôpitaux Universitaires de Genève HUG;D.1.7.M DP de pneumonie, âge 1-19, sans tumeur ni mucoviscidose, admissions directes, mortalité;1.5%;0.4%;3.9;65;0.0%;0.3%;0;53;
Les Hôpitaux Universitaires de Genève HUG;D.1.8.M DP de pneumonie, âge >19, sans tumeur ni mucoviscidose, admissions directes, mortalité;2.0%;5.5%;0.4;545;2.5%;4.8%;0.5;526;Calcul sur le périmètre des soins aigus : Taux observé 2.0 / Nb cas 505
Les Hôpitaux Universitaires de Genève HUG;D.2 Broncho-pneumopathie chronique obstructive (BPCO); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;D.2.1.M BPCO (âge >19), mortalité;0.0%;3.8%;0;116;1.8%;3.2%;0.6;166;Calcul sur le périmètre des soins aigus : Taux observé 0.7 / Nb cas 142
Les Hôpitaux Universitaires de Genève HUG;D.2.2.M BPCO (âge >19), avec VEF1 <35 %, mortalité;0.0%;7.9%;0;20;0.0%;6.3%;0;31;
Les Hôpitaux Universitaires de Genève HUG;D.2.3.M BPCO (âge >19), avec VEF1 35-49 %, mortalité;0.0%;3.0%;0;20;0.0%;1.9%;0;39;
Les Hôpitaux Universitaires de Genève HUG;D.2.4.M BPCO (âge >19), avec VEF1 50-69 %, mortalité;*;*;*;<10;0.0%;0.9%;0;14;
Les Hôpitaux Universitaires de Genève HUG;D.2.5.M BPCO (âge >19), avec VEF1 >69%, mortalité;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;D.2.6.P BPCO (âge >19), avec VEF1 non précisé, pourcentage;54.3%;33.5%;*;63;31.9%;38.4%;*;53;
Les Hôpitaux Universitaires de Genève HUG;D.2.6.M BPCO (âge >19), avec VEF1 non précisé, mortalité;0.0%;4.5%;0;63;3.8%;3.6%;1;53;
Les Hôpitaux Universitaires de Genève HUG;D.3 Cancer du poumon (carcinome bronchique); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;D.3.1.F Hospitalisations en cas de cancer du poumon;*;*;*;529;*;*;*;646;Calcul sur le périmètre des soins aigus : Nb cas 483
Les Hôpitaux Universitaires de Genève HUG;D.4 Opérations du poumon; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;D.4.1.M Total des résections pulmonaires ou bronchiques majeures, mortalité;1.0%;2.8%;0.3;104;1.2%;2.5%;0.5;86;
Les Hôpitaux Universitaires de Genève HUG;D.4.2.P Pneumonectomie en cas de carcinome bronchique, pourcentage;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;D.4.2.M Pneumonectomie en cas de carcinome bronchique, mortalité;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;D.4.3.M Résections pulmonaires partielles en cas de carcinome bronchique, mortalité;0.0%;2.4%;0;45;0.0%;2.7%;0;35;
Les Hôpitaux Universitaires de Genève HUG;E Opérations des organes abdominaux et de la thyroïde (chirurgie viscérale); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.1 Ablation de la vésicule biliaire (cholécystectomie); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.1.1.M Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité;0.0%;0.3%;0;446;0.4%;0.2%;2.2;476;
Les Hôpitaux Universitaires de Genève HUG;E.1.2.P Laparoscopie avec cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, pourcentage;92.6%;93.1%;*;413;93.3%;93.6%;*;444;
Les Hôpitaux Universitaires de Genève HUG;E.2 Réparations de hernie; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.2.1.M Herniotomie sans OP de l'intestin, mortalité;0.0%;0.3%;0;473;0.0%;0.1%;0;451;
Les Hôpitaux Universitaires de Genève HUG;E.2.2.M Herniotomie avec OP de l'intestin, mortalité;0.0%;7.6%;0;20;12.5%;6.1%;2;16;
Les Hôpitaux Universitaires de Genève HUG;E.3 Opérations de la thyroïde; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.3.1.F Résections thyroïdiennes;*;*;*;220;*;*;*;165;
Les Hôpitaux Universitaires de Genève HUG;E.3.2.P Cas de respiration artificielle >95 h en cas de résections thyroïdiennes, pourcentage;0.0%;0.3%;*;0;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;E.3.3.F Radiothérapie par iode radioactif;*;*;*;60;*;*;*;45;
Les Hôpitaux Universitaires de Genève HUG;E.4 Opérations majeures du côlon et du rectum (opérations colorectales); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.4.1.M Total des résections colorectales, mortalité;6.2%;6.0%;1;289;6.5%;5.2%;1.2;294;
Les Hôpitaux Universitaires de Genève HUG;E.4.2.M Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité;8.7%;4.9%;1.8;92;4.0%;4.3%;0.9;100;
Les Hôpitaux Universitaires de Genève HUG;E.4.3.M Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité;9.1%;17.5%;0.5;11;10.0%;14.7%;0.7;10;
Les Hôpitaux Universitaires de Genève HUG;E.4.4.M Résections du rectum pour cancer colorectal, mortalité;0.0%;4.0%;0;23;0.0%;1.6%;0;43;
Les Hôpitaux Universitaires de Genève HUG;E.4.5.M Résections colorectales pour diverticule sans abcès/perforation, mortalité;0.0%;0.8%;0;32;0.0%;0.6%;0;13;
Les Hôpitaux Universitaires de Genève HUG;E.4.6.M Résections colorectales pour diverticule avec abcès/perforation, mortalité;3.4%;5.3%;0.6;29;0.0%;8.4%;0;29;
Les Hôpitaux Universitaires de Genève HUG;E.4.7.M Résections colorectales pour ischémie intestinale, mortalité;30.0%;36.6%;0.8;10;42.9%;33.4%;1.3;14;
Les Hôpitaux Universitaires de Genève HUG;E.4.8.F Résections du côlon pour autre diagnostic;*;*;*;91;*;*;*;85;
Les Hôpitaux Universitaires de Genève HUG;E.4.9.F Interventions colorectales locales pour cancer colorectal;*;*;*;15;*;*;*;12;Calcul sur le périmètre des soins aigus : Nb cas 11
Les Hôpitaux Universitaires de Genève HUG;E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal;*;*;*;128;*;*;*;177;
Les Hôpitaux Universitaires de Genève HUG;E.5 Opérations de l'estomac; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.5.1.F Total des gastrectomies;*;*;*;53;*;*;*;42;
Les Hôpitaux Universitaires de Genève HUG;E.5.2.M Gastrectomies (sans OP de l'œsophage) en cas de cancer de l'estomac, mortalité;5.9%;3.7%;1.6;17;7.1%;5.6%;1.3;14;
Les Hôpitaux Universitaires de Genève HUG;E.5.3.M Gastrectomies avec OP complexe de l'œsophage, mortalité;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;E.6 Opérations de l’œsophage; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.6.1.M Interventions complexes de l’œsophage, mortalité;0.0%;8.0%;0;11;7.1%;9.5%;0.8;14;
Les Hôpitaux Universitaires de Genève HUG;E.7 Opérations du pancréas; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;E.7.1.M Total des résections du pancréas (sans transplantation, âge >19), mortalité;16.3%;7.8%;2.1;49;4.7%;8.7%;0.5;43;
Les Hôpitaux Universitaires de Genève HUG;F Opérations de vaisseaux; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;F.1 Opérations des vaisseaux extra­crâniens; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;F.1.1.M OP des vaisseaux extra­crâniens, mortalité;0.0%;0.7%;0;44;0.0%;0.1%;0;50;
Les Hôpitaux Universitaires de Genève HUG;F.1.2.M Implantation percutanée de stents dans des vaisseaux extra­crâniens, mortalité;6.2%;2.1%;3;32;5.3%;3.5%;1.5;38;Cet indicateur prend en compte les stents posés dans les occlusions carotidiennes aigues et chroniques. Compte tenu que la mortalité est plus élevée dans ces cas aigus cela peut, selon le type de patients traités, biaiser les résultats pour un hôpital donné.
Les Hôpitaux Universitaires de Genève HUG;F.1.3.F Autres OP des vaisseaux extra­crâniens en cas d'OP du cœur ou de l'aorte;*;*;*;<10;*;*;*;0;
Les Hôpitaux Universitaires de Genève HUG;F.2 Opérations en cas de dilatation de l'aorte (anévrisme de l'aorte); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;F.2.1.F Total des OP de l'aorte;*;*;*;43;*;*;*;37;
Les Hôpitaux Universitaires de Genève HUG;F.2.2.M OP abdominale à ciel ouvert en cas d'anévrisme de l'aorte sans rupture, mortalité;4.5%;4.5%;1;22;4.5%;5.4%;0.8;22;
Les Hôpitaux Universitaires de Genève HUG;F.2.3.M OP abdominale endovasculaire en cas d'anévrisme de l'aorte sans rupture, mortalité;0.0%;2.2%;0;13;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.2.4.F OP en cas d'anévrisme de l'aorte thoracique ou thoraco­abdominale (sans valve aortique);*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.2.5.M Anévrisme de l'aorte avec rupture, mortalité;58.3%;43.2%;1.3;24;53.3%;43.1%;1.2;30;Calcul sur le périmètre des soins aigus : Taux observé 51.7 / Nb cas 29
Les Hôpitaux Universitaires de Genève HUG;F.3 Opérations des artères du bassin et des jambes; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;F.3.1.F Total des OP des artères du bassin/des jambes;*;*;*;62;*;*;*;70;
Les Hôpitaux Universitaires de Genève HUG;F.3.2.M OP des artères du bassin/des jambes en cas de claudication, mortalité;0.0%;0.8%;0;15;0.0%;0.5%;0;14;
Les Hôpitaux Universitaires de Genève HUG;F.3.3.M OP des artères du bassin/des jambes en cas de douleurs au repos, mortalité;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.3.4.M OP des artères du bassin/des jambes en cas d'ulcération ou de gangrène, mortalité;*;*;*;0;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.3.5.M OP des artères du bassin/des jambes en cas d'embolie/de thrombose des artères, mortalité;3.8%;7.5%;0.5;26;9.1%;3.8%;2.4;22;
Les Hôpitaux Universitaires de Genève HUG;F.3.6.M OP des artères du bassin/des jambes en cas de complications dues à des prothèses/implants, mortalité;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.3.7.M OP des artères du bassin/des jambes en cas d'anévrisme/de dissection, mortalité;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.3.8.F OP des artères du bassin/des jambes combinée à une OP de l'aorte;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.3.9.F OP des artères du bassin/des jambes en cas d'autre diagnostic complexe;*;*;*;<10;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;F.4 Amputations; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;F.4.1.M Amputation non traumatique au niveau du pied, mortalité;0.0%;2.0%;0;33;4.4%;2.4%;1.9;45;
Les Hôpitaux Universitaires de Genève HUG;F.4.2.M Amputation non traumatique de membre inférieur, mortalité;5.6%;12.3%;0.5;36;13.2%;11.7%;1.1;38;
Les Hôpitaux Universitaires de Genève HUG;G Gynécologie et obstétrique; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;G.1 Accouchements; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;G.1.1.F Accouchements hospitaliers;*;*;*;3'773;*;*;*;3'884;
Les Hôpitaux Universitaires de Genève HUG;G.1.1.P Accouchements hospitaliers contribuant au décès de la mère, poucentage;0.0%;0.0%;*;0;0.0%;0.0%;*;0;
Les Hôpitaux Universitaires de Genève HUG;G.1.2.P Accouchements par voie vaginale avec rupture périnéale du 3ème et 4ème degré, pourcentage;1.8%;2.9%;*;50;2.6%;3.1%;*;74;
Les Hôpitaux Universitaires de Genève HUG;G.1.3.P Accouchements par voie vaginale avec épisiotomie, pourcentage;13.6%;28.9%;*;378;12.1%;27.9%;*;347;
Les Hôpitaux Universitaires de Genève HUG;G.1.4.P Césariennes, pourcentage;26.3%;32.5%;*;994;26.2%;32.6%;*;1'017;
Les Hôpitaux Universitaires de Genève HUG;G.2 Nouveau­nés; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;G.2.1.F Nouveau­nés <1250 g;*;*;*;98;*;*;*;45;Le chiffre correct du Nombre de cas est 82 et non 45
Les Hôpitaux Universitaires de Genève HUG;G.2.2.F Nouveau­nés <1250 g, transféré d’un autre hôpital;*;*;*;18;*;*;*;<10;
Les Hôpitaux Universitaires de Genève HUG;G.2.3.F Nouveau­nés <500 g;*;*;*;23;*;*;*;12;Le chiffre correct du Nombre de cas est 16 et non 12
Les Hôpitaux Universitaires de Genève HUG;G.2.4.F Nouveau­nés 500-749 g;*;*;*;27;*;*;*;12;Le chiffre correct du Nombre de cas est 23 et non 12
Les Hôpitaux Universitaires de Genève HUG;G.2.5.F Nouveau­nés 750-999 g;*;*;*;18;*;*;*;<10;Le chiffre correct du Nombre de cas est 15 et non <10
Les Hôpitaux Universitaires de Genève HUG;G.2.6.F Nouveau­nés 1000-1249 g;*;*;*;30;*;*;*;15;Le chiffre correct du Nombre de cas est 28 et non 15
