institution;indicator;taux observé 2008;taux attendu 2008;SMR 2008;nombre de cas 2008;taux observé 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;
HUG ­ Soins aigus;B.1.9.M Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, mortalité;9.8%;9.9%;1.0;51;16.2%;10.4%;1.6;37;
HUG ­ Soins aigus;B.1.10.M Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité;26.3%;29.1%;0.9;118;26.1%;26.6%;1.0;88;
HUG ­ Soins aigus;B.1.11.M Hémorragie sous­arachnoïdienne (CIM­10 I60, âge >19), mortalité;19.5%;13.7%;1.4;113;16.1%;11.7%;1.4;93;
HUG ­ Soins aigus;B.1.12.P Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), pourcentage;5.5%;15.7%;*;40;5.3%;13.8%;*;38;
HUG ­ Soins aigus;B.1.12.M Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), mortalité;2.5%;7.9%;0.3;40;2.6%;7.7%;0.3;38;
HUG ­ Soins aigus;B.2 Accident ischémique transitoire (AIT); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;B.2.1.M AIT, mortalité;0.0%;0.3%;0.0;111;0.0%;0.1%;0.0;109;
HUG ­ Soins aigus;B.2.2.P AIT avec traitement en unité cérébro­vasculaire, pourcentage;...;...;*;...;*;*;*;<10;
HUG ­ Soins aigus;C Rééducation gériatrique précoce; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;C.1 Rééducation gériatrique précoce; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;C.1.1.F Rééducation gériatrique précoce;*;*;*;...;*;*;*;0;
HUG ­ Soins aigus;D Maladies pulmonaires; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;D.1 Pneumonie; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;D.1.1.M DP de pneumonie, mortalité;2.0%;5.7%;0.4;595;2.3%;6.1%;0.4;732;
HUG ­ Soins aigus;D.1.2.M DP de pneumonie, âge <20, mortalité;0.0%;0.3%;0.0;70;1.2%;0.4%;3.4;80;
HUG ­ Soins aigus;D.1.3.M DP de pneumonie, âge 20-44, mortalité;0.0%;0.8%;0.0;54;0.0%;0.6%;0.0;55;
HUG ­ Soins aigus;D.1.4.M DP de pneumonie, âge 45-64, mortalité;1.4%;3.9%;0.4;138;2.1%;3.4%;0.6;142;
HUG ­ Soins aigus;D.1.5.M DP de pneumonie, âge 65-84, mortalité;3.2%;7.2%;0.4;253;3.3%;7.0%;0.5;301;
HUG ­ Soins aigus;D.1.6.M DP de pneumonie, âge >84, mortalité;2.5%;12.5%;0.2;80;1.9%;11.9%;0.2;154;
HUG ­ Soins aigus;D.1.7.M DP de pneumonie, âge 1-19, sans tumeur ni mucoviscidose, admissions directes, mortalité;0.0%;0.3%;0.0;62;1.5%;0.4%;3.9;65;
HUG ­ Soins aigus;D.1.8.M DP de pneumonie, âge >19, sans tumeur ni mucoviscidose, admissions directes, mortalité;1.2%;5.2%;0.2;424;2.0%;5.5%;0.4;545;
HUG ­ Soins aigus;D.2 Broncho-pneumopathie chronique obstructive (BPCO); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;D.2.1.M BPCO (âge >19), mortalité;0.9%;4.0%;0.2;111;0.0%;3.8%;0.0;116;
HUG ­ Soins aigus;D.2.2.M BPCO (âge >19), avec VEF1 <35 %, mortalité;...;...;...;...;0.0%;7.9%;0.0;20;
HUG ­ Soins aigus;D.2.3.M BPCO (âge >19), avec VEF1 35-49 %, mortalité;...;...;...;...;0.0%;3.0%;0.0;20;
HUG ­ Soins aigus;D.2.4.M BPCO (âge >19), avec VEF1 50-69 %, mortalité;...;...;...;...;*;*;*;<10;
HUG ­ Soins aigus;D.2.5.M BPCO (âge >19), avec VEF1 >69%, mortalité;...;...;...;...;*;*;*;<10;
HUG ­ Soins aigus;D.2.6.P BPCO (âge >19), avec VEF1 non précisé, pourcentage;...;...;*;...;54.3%;33.5%;*;63;
HUG ­ Soins aigus;D.2.6.M BPCO (âge >19), avec VEF1 non précisé, mortalité;...;...;...;...;0.0%;4.5%;0.0;63;
HUG ­ Soins aigus;D.3 Cancer du poumon (carcinome bronchique); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;D.3.1.F Hospitalisations en cas de cancer du poumon;*;*;*;419;*;*;*;529;
HUG ­ Soins aigus;D.4 Opérations du poumon; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;D.4.1.M Total des résections pulmonaires ou bronchiques majeures, mortalité;5.6%;3.3%;1.7;108;1.0%;2.8%;0.3;104;
HUG ­ Soins aigus;D.4.2.P Pneumonectomie en cas de carcinome bronchique, pourcentage;19.0%;13.6%;*;12;*;*;*;<10;
HUG ­ Soins aigus;D.4.2.M Pneumonectomie en cas de carcinome bronchique, mortalité;0.0%;7.2%;0.0;12;*;*;*;<10;
HUG ­ Soins aigus;D.4.3.M Résections pulmonaires partielles en cas de carcinome bronchique, mortalité;5.9%;3.0%;1.9;51;0.0%;2.4%;0.0;45;
HUG ­ Soins aigus;E Opérations des organes abdominaux et de la thyroïde (chirurgie viscérale); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.1 Ablation de la vésicule biliaire (cholécystectomie); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.1.1.M Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité;0.2%;0.3%;0.8;436;0.0%;0.3%;0.0;446;
HUG ­ Soins aigus;E.1.2.P Laparoscopie avec cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, pourcentage;89.7%;92.0%;*;391;92.6%;93.1%;*;413;
HUG ­ Soins aigus;E.2 Réparations de hernie; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.2.1.M Herniotomie sans OP de l'intestin, mortalité;0.5%;0.1%;4.4;594;0.0%;0.3%;0.0;473;
HUG ­ Soins aigus;E.2.2.M Herniotomie avec OP de l'intestin, mortalité;*;*;*;<10;0.0%;7.6%;0.0;20;
HUG ­ Soins aigus;E.3 Opérations de la thyroïde; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.3.1.F Résections thyroïdiennes;*;*;*;180;*;*;*;220;
HUG ­ Soins aigus;E.3.2.P Cas de respiration artificielle >95 h en cas de résections thyroïdiennes, pourcentage;*;*;*;<10;0.0%;0.3%;*;0;
HUG ­ Soins aigus;E.3.3.F Radiothérapie par iode radioactif;*;*;*;...;*;*;*;60;
HUG ­ Soins aigus;E.4 Opérations majeures du côlon et du rectum (opérations colorectales); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.4.1.M Total des résections colorectales, mortalité;7.3%;5.2%;1.4;316;6.2%;6.0%;1.0;289;
HUG ­ Soins aigus;E.4.2.M Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité;2.7%;5.4%;0.5;75;8.7%;4.9%;1.8;92;
HUG ­ Soins aigus;E.4.3.M Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité;20.0%;14.3%;1.4;10;9.1%;17.5%;0.5;11;
HUG ­ Soins aigus;E.4.4.M Résections du rectum pour cancer colorectal, mortalité;0.0%;3.1%;0.0;43;0.0%;4.0%;0.0;23;
HUG ­ Soins aigus;E.4.5.M Résections colorectales pour diverticule sans abcès/perforation, mortalité;0.0%;0.0%;0.0;33;0.0%;0.8%;0.0;32;
HUG ­ Soins aigus;E.4.6.M Résections colorectales pour diverticule avec abcès/perforation, mortalité;6.1%;7.4%;0.8;33;3.4%;5.3%;0.6;29;
HUG ­ Soins aigus;E.4.7.M Résections colorectales pour ischémie intestinale, mortalité;44.4%;26.7%;1.7;18;30.0%;36.6%;0.8;10;
HUG ­ Soins aigus;E.4.8.F Résections du côlon pour autre diagnostic;*;*;*;103;*;*;*;91;
HUG ­ Soins aigus;E.4.9.F Interventions colorectales locales pour cancer colorectal;*;*;*;10;*;*;*;15;
HUG ­ Soins aigus;E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal;*;*;*;124;*;*;*;128;
HUG ­ Soins aigus;E.5 Opérations de l'estomac; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.5.1.F Total des gastrectomies;*;*;*;57;*;*;*;53;
HUG ­ Soins aigus;E.5.2.M Gastrectomies (sans opération de l'œsophage) en cas de cancer de l'estomac, mortalité;3.7%;3.9%;0.9;27;5.9%;3.7%;1.6;17;
HUG ­ Soins aigus;E.5.3.M Gastrectomies avec opération complexe de l'œsophage, mortalité;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;E.6 Opérations de l’œsophage; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.6.1.M Interventions complexes de l’œsophage, mortalité;14.3%;3.2%;4.5;14;0.0%;8.0%;0.0;11;
HUG ­ Soins aigus;E.7 Opérations du pancréas; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;E.7.1.M Total des résections du pancréas (sans transplantation, âge >19), mortalité;2.7%;4.4%;0.6;37;16.3%;7.8%;2.1;49;
HUG ­ Soins aigus;F Opérations de vaisseaux; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;F.1 Opérations des vaisseaux extra­crâniens; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;F.1.1.M OP des vaisseaux extra­crâniens, mortalité;0.0%;0.3%;0.0;41;0.0%;0.7%;0.0;44;
HUG ­ Soins aigus;F.1.2.M Implantation percutanée de stents dans des vaisseaux extra­crâniens, mortalité;2.7%;2.0%;1.4;37;6.2%;2.1%;3.0;32;Cet indicateur prend en compte les stents posés dans les occlusions carotidiennes aigues et chroniques. Compte tenu que la mortalité est plus élevée dans ces cas aigus cela peut, selon le type de patients traités, biaiser les résultats pour un hôpital donné.
HUG ­ Soins aigus;F.1.3.F Autres OP des vaisseaux extra­crâniens en cas d'OP du cœur ou de l'aorte;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;F.2 Opérations en cas de dilatation de l'aorte (anévrisme de l'aorte); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;F.2.1.F Total des OP de l'aorte;*;*;*;42;*;*;*;43;
HUG ­ Soins aigus;F.2.2.M OP abdominale à ciel ouvert en cas d'anévrisme de l'aorte sans rupture, mortalité;0.0%;2.9%;0.0;21;4.5%;4.5%;1.0;22;
HUG ­ Soins aigus;F.2.3.M OP abdominale endovasculaire en cas d'anévrisme de l'aorte sans rupture, mortalité;*;*;*;<10;0.0%;2.2%;0.0;13;
HUG ­ Soins aigus;F.2.4.F OP en cas d'anévrisme de l'aorte thoracique ou thoraco­abdominale (sans valve aortique);*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;F.2.5.M Anévrisme de l'aorte avec rupture, mortalité;86.7%;45.1%;1.9;15;58.3%;43.2%;1.3;24;
HUG ­ Soins aigus;F.3 Opérations des artères du bassin et des jambes; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;F.3.1.F Total des OP des artères du bassin/des jambes;*;*;*;56;*;*;*;62;
HUG ­ Soins aigus;F.3.2.M OP des artères du bassin/des jambes en cas de claudication, mortalité;...;...;...;...;0.0%;0.8%;0.0;15;
HUG ­ Soins aigus;F.3.3.M OP des artères du bassin/des jambes en cas de douleurs au repos, mortalité;...;...;...;...;*;*;*;<10;
HUG ­ Soins aigus;F.3.4.M OP des artères du bassin/des jambes en cas d'ulcération ou de gangrène, mortalité;...;...;...;...;*;*;*;0;
HUG ­ Soins aigus;F.3.5.M OP des artères du bassin/des jambes en cas d'embolie/de thrombose des artères, mortalité;10.0%;5.1%;2.0;10;3.8%;7.5%;0.5;26;
HUG ­ Soins aigus;F.3.6.M OP des artères du bassin/des jambes en cas de complications dues à des prothèses/implants, mortalité;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;F.3.7.M OP des artères du bassin/des jambes en cas d'anévrisme/de dissection, mortalité;0.0%;4.5%;0.0;10;*;*;*;<10;
HUG ­ Soins aigus;F.3.8.F OP des artères du bassin/des jambes combinée à une OP de l'aorte;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;F.3.9.F OP des artères du bassin/des jambes en cas d'autre diagnostic complexe;*;*;*;28;*;*;*;<10;
HUG ­ Soins aigus;F.4 Amputations; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;F.4.1.M Amputation non traumatique au niveau du pied, mortalité;4.2%;1.9%;2.2;48;0.0%;2.0%;0.0;33;
HUG ­ Soins aigus;F.4.2.M Amputation non traumatique de membre inférieur, mortalité;18.2%;13.8%;1.3;33;5.6%;12.3%;0.5;36;
HUG ­ Soins aigus;G Gynécologie et obstétrique; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;G.1 Accouchements; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;G.1.1.F Accouchements hospitaliers;*;*;*;3'811;*;*;*;3'773;
HUG ­ Soins aigus;G.1.1.P Accouchements hospitaliers contribuant au décès de la mère, poucentage;0.0%;0.0%;*;0;0.0%;0.0%;*;0;
HUG ­ Soins aigus;G.1.2.P Accouchements par voie vaginale avec rupture périnéale du 3ème et 4ème degré, pourcentage;2.9%;2.8%;*;80;1.8%;2.9%;*;50;
HUG ­ Soins aigus;G.1.3.P Accouchements par voie vaginale avec épisiotomie, pourcentage;14.9%;29.1%;*;416;13.6%;28.9%;*;378;
HUG ­ Soins aigus;G.1.4.P Césariennes, pourcentage;26.6%;32.8%;*;1'013;26.3%;32.5%;*;994;
HUG ­ Soins aigus;G.2 Nouveau­nés; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;G.2.1.F Nouveau­nés <1250 g;*;*;*;...;*;*;*;98;
HUG ­ Soins aigus;G.2.2.F Nouveau­nés <1250 g, transféré d’un autre hôpital;*;*;*;...;*;*;*;18;
HUG ­ Soins aigus;G.2.3.F Nouveau­nés <500 g;*;*;*;...;*;*;*;23;
HUG ­ Soins aigus;G.2.4.F Nouveau­nés 500-749 g;*;*;*;...;*;*;*;27;
HUG ­ Soins aigus;G.2.5.F Nouveau­nés 750-999 g;*;*;*;...;*;*;*;18;
HUG ­ Soins aigus;G.2.6.F Nouveau­nés 1000-1249 g;*;*;*;...;*;*;*;30;
HUG ­ Soins aigus;G.2.7.F Nouveau­nés 1250-1499 g;*;*;*;...;*;*;*;16;
HUG ­ Soins aigus;G.2.8.F Nouveau­nés 1500-2499 g;*;*;*;...;*;*;*;321;
HUG ­ Soins aigus;G.2.9.F Nouveau­nés >2499 g ou sans indication de poids;*;*;*;...;*;*;*;3'619;
HUG ­ Soins aigus;G.3 Ablation de l’utérus pour affections bénignes (hystérectomie); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;G.3.1.M Hystérectomie pour affections bénignes, mortalité;0.0%;0.0%;0.0;211;0.4%;0.1%;2.4;277;
HUG ­ Soins aigus;G.3.2.P Hystérectomies laparoscopiques/vaginales, sans plastie, pourcentage;76.1%;70.7%;*;150;80.4%;73.0%;*;213;
HUG ­ Soins aigus;G.4 Cancer du sein; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;G.4.1.F Traitements hospitaliers en cas de cancer du sein;*;*;*;335;*;*;*;482;
HUG ­ Soins aigus;G.5 Interventions du sein; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;G.5.1.F Total des interventions du sein (résections et plasties mammaires);*;*;*;360;*;*;*;405;
HUG ­ Soins aigus;G.5.2.F Résections mammaires en cas de cancer du sein;*;*;*;200;*;*;*;249;
HUG ­ Soins aigus;G.5.3.P Résections partielles en cas de cancer du sein, pourcentage;68.0%;64.7%;*;136;77.5%;67.4%;*;193;
HUG ­ Soins aigus;H Maladies des voies urinaires et des organes génitaux masculins; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;H.1 Ablation du rein (néphrectomie et néphrectomie partielle); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;H.1.1.M Néphrectomie totale, mortalité;3.2%;1.3%;2.5;62;2.9%;2.4%;1.2;69;
HUG ­ Soins aigus;H.1.2.P OP laparoscopique en cas de néphrectomie totale, pourcentage;40.3%;24.2%;*;25;17.4%;21.2%;*;12;
HUG ­ Soins aigus;H.1.3.P Néphrectomie partielle, pourcentage;17.3%;22.0%;*;13;14.8%;25.8%;*;12;
HUG ­ Soins aigus;H.1.3.M Néphrectomie partielle, mortalité;0.0%;1.3%;0.0;13;0.0%;0.2%;0.0;12;
HUG ­ Soins aigus;H.1.4.P OP laparoscopique en cas de néphrectomie partielle, pourcentage;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;H.2 Calculs rénaux; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;H.2.1.F DP calculs rénaux;*;*;*;323;*;*;*;251;
HUG ­ Soins aigus;H.2.2.P Intervention pour extraction des calculs en cas de DP calculs rénaux, pourcentage;74.0%;43.0%;*;239;63.7%;43.4%;*;160;
HUG ­ Soins aigus;H.3 Opérations de la vessie; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;H.3.1.F DP tumeur maligne de la vessie;*;*;*;167;*;*;*;213;
HUG ­ Soins aigus;H.3.2.F Total des RTU de vessie;*;*;*;184;*;*;*;199;
HUG ­ Soins aigus;H.3.3.F RTU de vessie en cas de tumeur maligne;*;*;*;136;*;*;*;153;
HUG ­ Soins aigus;H.3.4.P RTU en cas de tumeur maligne avec instillation de médicaments chimiothérapeutiques dans la vessie, pourcentage;...;...;*;...;30.1%;4.0%;*;46;
HUG ­ Soins aigus;H.3.5.M Ablation de la vessie (cystectomie), mortalité;0.0%;1.6%;0.0;12;0.0%;4.0%;0.0;20;
HUG ­ Soins aigus;H.4 Résection prostatique transurétrale (TURP); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;H.4.1.M RTU de prostate, mortalité;0.0%;0.3%;0.0;221;0.5%;0.3%;1.8;201;
HUG ­ Soins aigus;H.5 Carcinome de la prostate; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;H.5.1.F Carcinome de la prostate (DP ou DS);*;*;*;291;*;*;*;316;
HUG ­ Soins aigus;H.5.2.M Prostatovésiculectomie radicale, mortalité;0.0%;0.1%;0.0;55;0.0%;0.2%;0.0;70;
HUG ­ Soins aigus;I Affections orthopédiques et traumatologiques; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;I.1 Remplacement de l'articulation, endoprothèse totale (EPT); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;I.1.1.M Première implantation d'EPT de hanche (pas en cas de fracture), mortalité;0.3%;0.2%;1.9;318;0.3%;0.2%;1.6;333;
HUG ­ Soins aigus;I.1.2.M Changement d'EPT de hanche et changement de composants, mortalité;6.9%;1.0%;7.0;29;0.0%;1.0%;0.0;43;
HUG ­ Soins aigus;I.1.3.M Première implantation d'EPT de genou, mortalité;0.0%;0.1%;0.0;251;0.0%;0.1%;0.0;305;
